gender,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,Churn
Female,48.0,60.34,2904.78,Two year,NO,0.0
Female,14.0,48.29,,Two year,DSL,0.0
FEMALE,29.0,382305.393288913,1681.91,Two year,DSL,0.0
Female,15.0,116.24,1724.04,Month-to-month,DSL,1.0
Male,31.0,43.32,1330.02,Two year,DSL,0.0
Female,20.0,35.94,717.73,One year,No,0.0
Female,5.0,33.04,159.67,Two year123,Fiber optic,1.0
,13.0,52.67,732.49,Two year,Fiber optic,0.0
Female,36.0,116.43,4223.9,Month-to-month,DSL,1.0
Male,3.0,67.05,163.74,Month-to-month,Fiber optic,1.0
Male,71.0,65.12,4660.49,Month-to-month,No,1.0
Male,1.0,89.25,93.27,One year###,DSL,0.0
Male,4.0,75.08,329.16,Month-to-month,DSL,1.0
Male,23.0,37.61,857.13,One year,DSL,1.0
,61.0,60.79,3669.1,One year,Fiber optic,0.0
Male,67.0,68.6,4549.32,One year,Fiber optic,0.0
Female,55.0,49.42,2759.07,Two year,DSL,1.0
Male,,23.94,,Two year,DSL,0.0
Female,49.0,37.69,1847.37,Two year,No,263682.07288959285
Male,71.0,45.8,3290.61,Two year,DSL,0.0
Female,52.0,35.71,1849.6,One year,No,0.0
Female,20.0,24.03,513.78,Two year,Fiber optic,1.0
Male,48.0,-999.0,2647.26,Month-to-month,No123,0.0
Male,53.0,86.47,4575.2,One year,No,0.0
Male,37.0,41.1,1528.49,Two year,Fiber optic,1.0
Female,29.0,109.18,3152.98,Month-to-month,Fiber optic,1.0
Male,55.0,56.81,3138.82,Two year???,No123,1.0
Female,4.0,99.19,377.66,Month-to-month,Fiber optic,1.0
Male,24.0,96.01,2261.2,Month-to-month,No,0.0
Male,12.0,,386.9,Two year,No,0.0
Female,40.0,66.61,2671.16,Two year,Fiber optic,1.0
Male,20.0,53.48,1027.76,Month-to-month,No,1.0
Female,,44.85,2797.11,Two year###,Fiber_optic,0.0
Female,56.0,97.48,,Month-to-month,Fiber optic,1.0
Female@@,6.0,118.91,668.94,MONTH-TO-MONTH,Fiber optic,1.0
Male,18.0,49.69,845.19,One year,Fiber optic,0.0
Male,17.0,72.22,1227.77,One year,No,0.0
Female,10.0,32.54,277.27,One year,No###,0.0
Female,55.0,62.57,3433.12,Two year,Fiber optic,1.0
Male,42.0,82.21,3471.78,Month-to-month,No,1.0
Female,14.0,91.22,1279.48,Month-to-month,Fiber optic,1.0
Female,44.0,104.54,4557.4,Month-to-month,Fiber optic,1.0
Male,45.0,87.49,999999.0,One year,No,1.0
Male,,40.41,,One year,DSL,0.0
male,23.0,47.84,1106.69,Two year,Fiber optic,0.0
Female,41.0,54.78,2240.2,MONTH-TO-MONTH,Fiber optic,1.0
Female,8.0,34.45,271.77,One year,No,1.0
Female,37.0,110.5,4124.03,Month-to-month,No,1.0
Female,60.0,77.25,4658.89,,No,1.0
Male,42.0,50.08,2149.13, Two year ###,Fiber optic,0.0
Female,11.0,30.35,308.62,Two year,No,1.0
 Female ,68.0,,1994.65,Two year,No,0.0
Female,44.0,23.14,1031.25,Two year,No,0.0
female,13.0,43.19,536.67,Two year,No,0.0
Male,43.0,96.45,4189.02,Month-to-month,No,1.0
Female###,17.0,76.28,1277.72,Two year,No,0.0
Female,17.0,69.74,1209.46,Two year,No,0.0
Male,55.0,21.09,1140.84,Two year,Fiber optic,0.0
Female,,120.0,7525.49,Month-to-month,DSL,1.0
Male,999999.0,73.02,4700.07,Two year,No,0.0
Male,49.0,62.66,3089.62,Month-to-month,DSL,0.0
Male,57.0,75.5,4325.46,Month-to-month,Fiber optic,0.0
Female,58.0,66.74,3917.48,Month-to-month,No,0.0
Male,48.0,79.07,3791.53,Two year,No,0.0
Female,65.0,77.98,5100.39,Two year,Fiber optic,0.0
Male,33.0,83.64,2747.24,Month-to-month,No,0.0
Male,37.0,69.1,2597.23,Month-to-month,DSL,1.0
Female,12.0,111.92,1386.09,Month-to-month,Fiber optic,1.0
Female,65.0,53.17,3414.21,One year,DSL123,0.0
Female,13.0,40.12,486.16,Two year,No,1.0
Female,18.0,46.92,795.09,Two year,Fiber optic,1.0
Female,28.0,115.82,3253.85,Month-to-month,No###,1.0
Female,31.0,32.86,1010.64,One year,DSL,0.0
Female,9.0,,777.57,Month-to-month,Fiber optic,1.0
Male,19.0,30.09,556.99,One year,Fiber optic,0.0
Male,11.0,24.06,267.27,Two year,Fiber optic,1.0
Male,50.0,68.14,3455.1,One year,DSL,0.0
Male,46.0,66.88,3092.19,Month-to-month,Fiber optic,1.0
female,18.0,88.22,1619.31,Month-to-month,Fiber optic,1.0
Female,62.0,68.69,4215.09,Two year,DSL,0.0
Female,5.0,32.63,133.1,One year,DSL,1.0
Female,66.0,234161.44796005587,3808.06,One year,No,0.0
FEMALE,46.0,73.23,3331.03,Month-to-month,No,1.0
Female,57.0,88.42,5039.56,One year,Fiber optic,0.0
,11.0,24.74,282.39,Two year123,Fiber optic,0.0
Female,-999.0,72.95,3043.46,Month-to-month,DSL,1.0
Female###,22.0,41.09,858.22,Two year,Fiber optic###,0.0
,56.0,,5017.59,One year,No,1.0
Female,47.0,60.76,2901.0,Two year,No,1.0
Female,5.0,66.52,347.12,Month-to-month,DSL,1.0
Male,20.0,76.93,1525.8,Two year,Fiber optic,0.0
Male,68.0,48.86,3300.35,One year,fiber optic,357222.4891247
Male,,53.22,1283.45,One year,No,0.0
Female,58.0,69.99,4101.07,Month-to-month,No,1.0
Male,18.0,62.09,1138.96,Month-to-month,Fiber optic,0.0
Female,45.0,53.0,2364.04,Two year,DSL,0.0
Male,23.0,43.45,1047.86,One year,No,0.0
Male,64.0,88.78,5668.81,,Fiber optic,0.0
Male###,,77.87,956.13,Month-to-month,Fiber optic,1.0
Female,,27.52,1440.26,Two year,DSL,1.0
Female,67.0,82.68,,One year,DSL,0.0
Male,17.0,84.64,1394.42,One year,No,999999.0
Male,39.0,72.59,2851.94,,DSL,1.0
Female,11.0,68.1,754.18,One year,DSL,1.0
Female,69.0,94.87,6555.21,Month-to-month,No,1.0
Male,44.0,69.51,3011.28,Two year,DSL,1.0
Female,27.0,,,Two year,FIBER OPTIC,0.0
Female,39.0,78.28,3071.42,One year,DSL,0.0
Male,8.0,79.09,629.16,month-to-month,Fiber optic,1.0
Male,41.0,64.05,2662.13,Two year,Fiber optic,0.0
Male,48.0,26.37,1239.93,,No,1.0
Female,32.0,999999.0,1757.82,Month-to-month,DSL,0.0
Female,32.0,115.36,3713.63,Month-to-month,Fiber optic,1.0
Male,64.0,49.93,3176.37,Two year,Fiber optic,1.0
Female,65.0,42.91,2774.44,One year,DSL,1.0
Female,61.0,30.49,385271.99703177955,One year,No,1.0
Female,47.0,32.71,1492.49,One year,Fiber optic,0.0
Female,71.0,53.18,3770.82,One year,DSL,0.0
Male,17.0,76.12,1342.72,Month-to-month,Fiber optic,1.0
Female###,19.0,85.64,,Month-to-month,No,1.0
Male,43.0,57.42,2479.69,One year,No,0.0
,41.0,119.34,4916.87,Month-to-month,Fiber optic,1.0
Female,65.0,298437.7892343898,3216.64,Two year,No,-999.0
Male,48.0,36.58,1747.49,One year,No,672220.3659364806
Male,61.0,76.97,4722.79,One year,No,0.0
Male,62.0,94.03,5841.83,Month-to-month,No,0.0
Male,32.0,116.37,3684.83,Month-to-month,no@@,1.0
Female,54.0,98.34,328324.7921529819,Month-to-month,Fiber optic,1.0
Female,8.0,51.12,415.05,Two year???,DSL,0.0
Female,68.0,87.4,5939.17,One year,Fiber optic,0.0
Female,34.0,31.54,1047.01,Two year,Fiber optic,0.0
Male,39.0,42.44,1675.66,One year,No,0.0
Female,72.0,37.27,2690.79,Two year###,Fiber optic,0.0
Female,45.0,52.94,2427.83,Month-to-month,Fiber optic,1.0
Female,33.0,32.84,999999.0,Two year,Fiber optic,1.0
Female,18.0,101.86,1807.41,Month-to-month,No,1.0
Male,30.0,78.93,2389.64,Month-to-month,DSL,1.0
Male,1.0,44.41,87.91,Two year,DSL,0.0
Female,26.0,47.12,1181.04,One year,Fiber optic,0.0
Male,69.0,71.02,4854.11,Two year,No,0.0
Female,23.0,105.16,,Month-to-month,Fiber optic,1.0
Female,5.0,89.76,409.53,Month-to-month,Fiber optic,1.0
Female,59.0,51.46,3075.07,Two year,No,1.0
Female,35.0,73.15,2583.36,Month-to-month,DSL,0.0
Male,2.0,67.45,141.68,Two year,fiber optic,0.0
Male,52.0,49.68,2573.44,One year???,No@@,1.0
Male,62.0,30.41,1873.78,One year,DSL,0.0
Female@@,43.0,73.37,3106.05,One year,No,0.0
Male,8.0,47.92,349.33,Two year,DSL,173853.57793365658
Female,16.0,42.05,644.88,Two year,Fiber optic,0.0
Female,20.0,89.33,1773.96,One year,No,999999.0
Female,69.0,65.71,4552.02,Two_year,DSL,0.0
Male,68.0,72.23,4869.45,One year,No,0.0
Male,71.0,54.36,3824.55,Two year,DSL,0.0
Female,15.0,63.02,944.18,Two year,DSL,0.0
Female,8.0,60.79,482.0,One year,DSL,1.0
Female,40.0,43.76,1782.05,Two year,DSL,0.0
Male,6.0,72.02,436.24,One year,Fiber optic,1.0
Male,61.0,78.62,4822.72,Month-to-month,Fiber optic,0.0
Female,48.0,82.18,3985.32,One year,Fiber optic,1.0
Male,45.0,119.5,5366.81,Month-to-month,DSL,1.0
Male,1.0,82.41,104.32,Month-to-month,Fiber optic,1.0
Female,30.0,-999.0,2204.46,Month-to-month,Fiber optic,0.0
Male,5.0,56.9,328.12,Two year,Fiber optic,0.0
Male,27.0,91.58,2467.3,Month-to-month,DSL,1.0
,32.0,44.14,999999.0,Two year,DSL,0.0
Male,18.0,34.05,654.54,Two year,Fiber optic,0.0
,31.0,89.14,2765.47,,DSL,0.0
Female,8.0,72.78,623.4,Two year,No,0.0
 Female ,72.0,88.34,6404.64,One year@@,DSL,0.0
Female,54.0,47.99,2559.85,One year,DSL,0.0
Male,29.0,38.66,1117.44,One year,No,1.0
Female,54.0,28.05,1488.99,,No,0.0
male,58.0,,3637.06,,DSL,1.0
Female,6.0,106.33,646.74,Month-to-month,DSL,1.0
Male,62.0,71.22,4456.54,Month-to-month,Fiber optic,1.0
,16.0,74.87,1217.48,Two year,Fiber optic,0.0
Female,31.0,66.53,2050.5,Two year,Fiber optic,0.0
Female???,40.0,60.77,2430.53,One year,Fiber optic,1.0
Female,41.0,71.9,2902.47,Month-to-month,Fiber optic,0.0
Male,3.0,86.09,266.18,One year,No,1.0
Male,26.0,52.79,1405.88,One year,DSL,0.0
Female,33.0,68.5,2259.56,One year,No,1.0
Female,999999.0,88.26,1910.12,MONTH-TO-MONTH,No,0.0
Male,68.0,116.16,7915.7,Month-to-month,DSL,0.0
Female,18.0,24.08,398.54,Two year,DSL,0.0
,48.0,94.64,4586.11,Month-to-month,No,0.0
Female,3.0,88.62,217.05,Month-to-month,No,1.0
,69.0,,-999.0,One year,DSL,0.0
Male,14.0,60.42,815.07,Month-to-month,No,1.0
Female,35.0,52.38,1823.9,One year,DSL,0.0
Male,39.0,59.22,2345.4,Two year,DSL???,20.49586776859504
Male,52.0,63.16,3239.93,One year,Fiber optic,999999.0
Male,11.0,68.69,738.72,One year???,Fiber optic,0.0
Male,68.0,64.8,4443.21,Month-to-month,DSL,0.0
Female,999999.0,97.91,3404.89,Month-to-month,DSL,1.0
Male,23.0,87.69,2025.57,One year,DSL,0.0
Female,10.0,63.84,645.07,,DSL###,428635.97003918694
,50.0,67.43,,Two year,DSL,1.0
,7.0,66.25,421.35,Month-to-month,Fiber optic,1.0
Female,42.0,69.13,2952.72,Month-to-month,No,1.0
Female,71.0,,2929.53,One year,Fiber optic,0.0
,32.0,24.92,762.86,Two year,DSL,0.0
Male,50.0,36.39,1770.02,One year,Fiber optic,0.0
Female,35.0,56.11,1956.95,Month-to-month,DSL,0.0
Female,14.0,999999.0,1006.09,Month-to-month,DSL,0.0
,50.0,78.97,3976.42,Month-to-month,Fiber optic,0.0
Male,67.0,615532.049817205,,Month-to-month,No,1.0
Female,19.0,80.43,1520.28,Month-to-month,DSL,1.0
Male,47.0,73.25,3442.33,one year,DSL,0.0
Female,14.0,50.47,696.15,Month-to-month,Fiber optic,0.0
,43.0,398924.83995364833,2433.47,One year,FIBER OPTIC,0.0
Male,39.0,86.84,3356.85,One year???,No,1.0
Female,41.0,71.7,-999.0,One year,No,619928.0913124221
Male,42.0,78.99,3306.87,One year,Fiber optic,1.0
Male,70.0,103.73,7213.79,Month-to-month,No,0.0
Male,57.0,34.15,1981.33,One year,No,0.0
Female,18.0,34.52,637.23,Two year,Fiber optic,0.0
Female,10.0,58.75,577.58,One year,No@@,0.0
Female,70.0,99.11,6968.93,Month-to-month,Fiber optic,1.0
Male,14.0,96.53,1318.05,Month-to-month,No,1.0
,43.0,30.63,1292.96,one year,DSL@@,0.0
Male,58.0,57.78,3369.2,One year,Fiber optic,0.0
Male,45.0,57.32,2571.0,Month-to-month,Fiber optic,0.0
,19.0,50.58,989.45,One year,Fiber optic,0.0
Female,61.0,100.54,6128.18,Month-to-month,Fiber optic,1.0
Male,15.0,95.36,1448.11,Month-to-month,Fiber optic,1.0
Male,67.0,61.21,4107.05,Month-to-month,No,0.0
Male,52.0,244339.84134962352,1637.09,Two year,DSL,0.0
Male,58.0,43.33,2533.61,Two year,Fiber optic,1.0
Male,14.0,41.95,557.01,Two year,DSL,1.0
Female,68.0,55.82,3806.89,Two year,Fiber optic,0.0
Female,46.0,40.35,1873.46,One year,No,0.0
Male,18.0,44.31,759.27,One year,DSL,0.0
,66.0,65.79,4349.62,One year,Fiber optic,0.0
Female,446810.5631786966,75.84,5200.28,,No123,1.0
 Female ,18.0,108.94,1972.86,Month-to-month,Fiber optic,0.0
Male,63.0,107.07,6791.79,,DSL,1.0
Female,53.0,44.94,2415.81,Two year,Fiber optic,0.0
Male,4.0,52.29,181.64,Month-to-month,Fiber optic,1.0
Female,64.0,26.79,1675.98,Two year,No,0.0
Female,70.0,80.9,5634.85,Month-to-month,No,1.0
Male@@,39.0,68.4,2703.82, Month-to-month ,Fiber optic,1.0
Male,31.0,91.15,,Month-to-month,no,0.0
Female,22.0,67.09,-999.0,Two year,DSL,0.0
Female,69.0,62.33,4283.14,One year,No,0.0
Female,35.0,,2375.41, nan ,No,0.0
Female,8.0,37.61,337.49,One year,No,1.0
Female,32.0,49.37,1587.58,Two year,Fiber optic,1.0
Female,49.0,68.02,3370.99,ONE YEAR,DSL,1.0
Female,48.0,49.64,2332.97,One year,Fiber optic,0.0
Male,59.0,61.84,,Two year,No,0.0
Female,,59.68,1653.33,,DSL,0.0
Male,63.0,75.74,,One year,No,0.0
Female,,80.89,192.74,Month-to-month,DSL,0.0
,17.0,29.54,545.45,,Fiber optic,1.0
Female,33.0,96.52,3200.05,,Fiber optic,1.0
Female123,30.0,35.47,999999.0,One year,No,549017.0360864786
Male,17.0,51.17,864.4,Two year,DSL,1.0
Female,16.0,37.93,563.96,One year,No,0.0
Male,14.0,-999.0,-999.0,one year,Fiber optic,0.0
Male,204057.6647605636,89.43,1710.2,Month-to-month,No,1.0
Female,28.0,29.08,805.41,Two year,No,0.0
Male,12.0,,1241.0,Month-to-month,DSL,1.0
Female,41.0,69.39,2803.41,Month-to-month,DSL,0.0
Female,4.0,32.33,140.01,Two year,Fiber optic,1.0
Female,38.0,67.03,2576.52,Two year,DSL,0.0
,15.0,94.67,1377.15,Month-to-month,Fiber optic,0.0
Male,47.0,53.21,2534.77,One year,DSL,0.0
Male,61.0,91.12,5509.7,Month-to-month,DSL,1.0
Male,51.0,57.71,2943.31,Two year,Fiber optic,0.0
,11.0,52.26,540.13,Two year,No,1.0
Male,66.0,87.55,5767.37,Month-to-month,DSL@@,1.0
Male,40.0,63.8,2586.65,Two year,Fiber optic,1.0
Male,56.0,92.86,5155.66,Month-to-month,Fiber optic,1.0
Male,16.0,59.6,904.74,Month-to-month,No,1.0
Female,67.0,35.55,2369.04,Two year,No,0.0
Female,16.0,106.5,1681.2,Month-to-month,Fiber optic,1.0
Male,64.0,51.61,3303.0,One year,No,0.0
Female,21.0,83.66,1774.27,One year,DSL,1.0
Male,6.0,53.22,305.72,Month-to-month,DSL,0.0
Male,5.0,64.44,314.14,Two year,No,1.0
Female,41.0,64.29,2597.83,One year,DSL,571703.6904702173
,23.0,118.7,2775.51,Month-to-month,No,1.0
Female???,37.0,35.18,1297.33,One year,Fiber optic,0.0
Female,39.0,34.56,1334.67,, No ,0.0
Male,70.0,50.45,3522.5,Month-to-month,DSL,1.0
Female,,75.54,138.71,One year,DSL,0.0
Female,14.0,118.82,1655.46,Month-to-month,No,0.0
Male,,114.49,4161.37,Month-to-month,DSL,1.0
Female,59.0,54.85,3236.69,Two year,DSL,0.0
Female,10.0,23.74,,Two year,No,1.0
Female,34.0,72.04,2472.9,One year,Fiber optic,0.0
Female,30.0,59.53,1812.91,Month-to-month, DSL ,1.0
Male,22.0,48.84,1036.55,,Fiber optic@@,0.0
Male,58.0,45.9,2624.19,One year???,Fiber optic,1.0
Female,6.0,60.38,383.4,Month-to-month,Fiber optic,0.0
female###,66.0,70.92,4712.73,Month-to-month,No,1.0
Female???,58.0,53.01,3034.05,Two year,No,1.0
Male,16.0,108.13,1778.34,, DSL ,1.0
FEMALE,48.0,76.25,3618.4,Two year,No,0.0
Male,3.0,113.17,333.85,Month-to-month,DSL,1.0
Female,16.0,53.54,899.05,month-to-month,Fiber optic,1.0
Female,64.0,97.82,6227.76,Month-to-month,Fiber optic,1.0
Male,36.0,83.01,2941.82,One year,Fiber optic,0.0
Male,38.0,82.97,3150.76,One year,Fiber optic,999999.0
Female,18.0,68.56,1263.8,One year,DSL,0.0
Male,49.0,48.78,2418.36,Two year,Fiber optic,0.0
Female,50.0,31.56,1587.71,One year,DSL,1.0
Female,8.0,51.45,,One year,No,1.0
Male,13.0,66.88,872.81,Month-to-month,No,0.0
Male,29.0,41.29,1231.33,Two year,Fiber optic,0.0
male,31.0,68.37,2139.23,TWO YEAR,Fiber optic,0.0
Male,46.0,28.53,1357.22,Two year,No,0.0
Female,70.0,59.43,4119.13,One year,DSL,0.0
Male,3.0,20.04,101.91,Two year,Fiber optic,1.0
Male,44.0,75.13,3340.15,Two year,DSL,0.0
Male,19.0,75.03,1453.01,Two year,No,0.0
Female,,86.52,854.76,One year,No,1.0
Female,42.0,101.26,4246.61,Month-to-month,DSL,1.0
Female@@,41.0,117.81,4849.57,Month-to-month,No,0.0
Female,733575.2713563812,68.87,1985.07,Two year,No,0.0
Female,17.0,50.13,872.41,Month-to-month,No,0.0
Male,24.0,75.26,1852.99,Two year,Fiber optic,1.0
Male,64.0,102.17,6512.68,Month-to-month,Fiber optic,0.0
Male,12.0,58.35,738.87,Two year,No,0.0
 Female ,27.0,54.75,1453.92,Month-to-month,No,1.0
